:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/hdf5-1.8.18/lib:/home/akshays/Codes/SuperLU_5.2.1/lib:/home/akshays/Codes/legion/bindings/terra:/home/akshays/Codes/WCHR-regent/src
[0 - 7f390c839780] {4}{threads}: reservation ('DMA request queue') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = true
           prefix               = advection_3D_uzi_
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

Writing visualization file advection_3D_uzi_0000_px0000_pz0000.h5

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
    55 |  5.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    56 |  5.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    57 |  5.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    58 |  5.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    59 |  5.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    60 |  6.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    61 |  6.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    62 |  6.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

Writing visualization file advection_3D_uzi_0001_px0000_pz0000.h5
    63 |  6.2500e-02 |  5.0000e-04 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    64 |  6.3500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    65 |  6.4500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    66 |  6.5500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    67 |  6.6500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    68 |  6.7500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    69 |  6.8500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    70 |  6.9500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    71 |  7.0500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    72 |  7.1500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    73 |  7.2500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    74 |  7.3500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    75 |  7.4500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    76 |  7.5500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    77 |  7.6500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    78 |  7.7500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    79 |  7.8500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    80 |  7.9500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    81 |  8.0500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    82 |  8.1500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    83 |  8.2500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    84 |  8.3500e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
