cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_JxsHVh.so
[0 - 7f1308a8f780] {4}{threads}: reservation ('GPU worker thread') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
   106 |  1.0600e-01 |  1.0000e-03 |  2.0552e-10 |  4.4409e-15 |  6.6613e-15 |  1.0000e+00
   107 |  1.0700e-01 |  1.0000e-03 |  2.0740e-10 |  4.2188e-15 |  7.5495e-15 |  1.0000e+00
   108 |  1.0800e-01 |  1.0000e-03 |  2.0926e-10 |  3.9968e-15 |  6.9944e-15 |  1.0000e+00
   109 |  1.0900e-01 |  1.0000e-03 |  2.1111e-10 |  4.2188e-15 |  7.3275e-15 |  1.0000e+00
   110 |  1.1000e-01 |  1.0000e-03 |  2.1308e-10 |  3.8858e-15 |  7.3275e-15 |  1.0000e+00
   111 |  1.1100e-01 |  1.0000e-03 |  2.1510e-10 |  4.1078e-15 |  7.7716e-15 |  1.0000e+00
   112 |  1.1200e-01 |  1.0000e-03 |  2.1711e-10 |  4.1078e-15 |  7.3275e-15 |  1.0000e+00
   113 |  1.1300e-01 |  1.0000e-03 |  2.1911e-10 |  3.9968e-15 |  7.3275e-15 |  1.0000e+00
   114 |  1.1400e-01 |  1.0000e-03 |  2.2110e-10 |  3.9968e-15 |  7.8826e-15 |  1.0000e+00
   115 |  1.1500e-01 |  1.0000e-03 |  2.2307e-10 |  3.9968e-15 |  7.8826e-15 |  1.0000e+00
   116 |  1.1600e-01 |  1.0000e-03 |  2.2504e-10 |  4.2188e-15 |  7.5495e-15 |  1.0000e+00
   117 |  1.1700e-01 |  1.0000e-03 |  2.2699e-10 |  4.4409e-15 |  7.9936e-15 |  1.0000e+00
   118 |  1.1800e-01 |  1.0000e-03 |  2.2892e-10 |  4.2188e-15 |  8.2157e-15 |  1.0000e+00
   119 |  1.1900e-01 |  1.0000e-03 |  2.3084e-10 |  4.2188e-15 |  7.7716e-15 |  1.0000e+00
   120 |  1.2000e-01 |  1.0000e-03 |  2.3275e-10 |  4.2188e-15 |  7.7716e-15 |  1.0000e+00
   121 |  1.2100e-01 |  1.0000e-03 |  2.3464e-10 |  4.2188e-15 |  7.7716e-15 |  1.0000e+00
   122 |  1.2200e-01 |  1.0000e-03 |  2.3652e-10 |  4.2188e-15 |  7.9936e-15 |  1.0000e+00
   123 |  1.2300e-01 |  1.0000e-03 |  2.3838e-10 |  3.9968e-15 |  7.7716e-15 |  1.0000e+00
   124 |  1.2400e-01 |  1.0000e-03 |  2.4023e-10 |  3.9968e-15 |  7.1054e-15 |  1.0000e+00
   125 |  1.2500e-01 |  1.0000e-03 |  2.4207e-10 |  3.9968e-15 |  6.9944e-15 |  1.0000e+00

Error in rho = 2.42074e-10
Error in u   = 3.9968e-15
Error in v   = 3.9968e-15
Error in w   = 4.88498e-15
Error in p   = 6.99441e-15

Average time per time step =  5.22617e+01
