epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_UQfDtr.so
[0 - 7f7ba22b7780] {4}{threads}: reservation ('CPU proc 1d00000000000001') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 2, 2
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    68 |  2.0178e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    69 |  2.0474e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    70 |  2.0771e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    71 |  2.1068e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    72 |  2.1365e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    73 |  2.1661e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    74 |  2.1958e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    75 |  2.2255e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    76 |  2.2551e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    77 |  2.2848e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    78 |  2.3145e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    79 |  2.3442e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    80 |  2.3738e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    81 |  2.4035e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    82 |  2.4332e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    83 |  2.4628e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    84 |  2.4925e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    85 |  2.5222e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    86 |  2.5519e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    87 |  2.5815e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    88 |  2.6112e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    89 |  2.6409e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    90 |  2.6705e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    91 |  2.7002e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    92 |  2.7299e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    93 |  2.7596e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    94 |  2.7892e-01 |  2.9672e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
