Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_3DalcT.so
[0 - 7f7da8813780] {4}{threads}: reservation ('CPU proc 1d00000000000001') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.300000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    48 |  7.1217e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0005e+00
    49 |  7.2700e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0006e+00
    50 |  7.4184e-02 |  1.4837e-03 |  3.5569e-06 | -9.7657e-02 | 2.1644e-312 |  1.0000e+00 |  1.0006e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  7.5668e-02 |  1.4837e-03 |  3.5573e-06 |  9.6230e-02 |  1.6001e+00 |  1.0000e+00 |  1.0006e+00
    52 |  7.7151e-02 |  1.4837e-03 |  3.6780e-04 |  1.0313e-02 |  1.0000e+00 |  1.0000e+00 |  1.0006e+00
    53 |  7.8635e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0006e+00
    54 |  8.0119e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0007e+00
    55 |  8.1602e-02 |  1.4837e-03 |  0.0000e+00 |  3.3333e-01 |  1.2415e-03 |  1.0000e+00 |  1.0007e+00
    56 |  8.3086e-02 |  1.4837e-03 | -1.2902e+01 |  1.1607e-02 |  1.0000e+00 |  1.0000e+00 |  1.0007e+00
    57 |  8.4570e-02 |  1.4837e-03 |  1.4837e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00 |  1.0007e+00
    58 |  8.6053e-02 |  1.4837e-03 |  3.5602e-06 | -9.7749e-02 | -4.1097e-03 |  1.0000e+00 |  1.0008e+00
    59 |  8.7537e-02 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0008e+00
    60 |  8.9021e-02 |  1.4837e-03 |  3.6852e-04 |  1.0444e-02 | 7.9051e-323 |  1.0000e+00 |  1.0008e+00
    61 |  9.0504e-02 |  1.4837e-03 | -4.3155e-03 |  4.0967e-04 | -4.2837e-04 |  1.0000e+00 |  1.0009e+00
    62 |  9.1988e-02 |  1.4837e-03 | -5.7967e-05 | -6.8050e-07 | -5.6998e-05 |  1.0000e+00 |  1.0009e+00
    63 |  9.3472e-02 |  1.4837e-03 |  0.0000e+00 |  5.0930e+00 |  1.5942e+00 |  1.0000e+00 |  1.0009e+00
    64 |  9.4955e-02 |  1.4837e-03 | -1.2902e+01 |  1.1903e-02 |  1.0000e+00 |  1.0000e+00 |  1.0009e+00
    65 |  9.6439e-02 |  1.4837e-03 |  3.6644e-04 |  8.6131e-03 | 2.2705e-312 |  1.0000e+00 |  1.0010e+00
    66 |  9.7923e-02 |  1.4837e-03 | -1.2902e+01 |  9.8770e-01 |  1.0000e+00 |  1.0000e+00 |  1.0010e+00
    67 |  9.9406e-02 |  1.4837e-03 |  3.6924e-04 |  1.0561e-02 | -1.5891e-02 |  1.0000e+00 |  1.0010e+00
    68 |  1.0089e-01 |  1.4837e-03 |  3.6652e-04 |  8.5696e-03 | -7.3380e-04 |  1.0000e+00 |  1.0011e+00
    69 |  1.0237e-01 |  1.4837e-03 |  3.6671e-04 | -1.0496e-02 | 2.2069e-312 |  1.0000e+00 |  1.0011e+00
    70 |  1.0386e-01 |  1.4837e-03 |  3.6674e-04 | -1.0510e-02 | 7.9051e-323 |  1.0000e+00 |  1.0011e+00
    71 |  1.0534e-01 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0012e+00
    72 |  1.0682e-01 |  1.4837e-03 | -1.2902e+01 | -9.9241e-01 |  1.0000e+00 |  1.0000e+00 |  1.0012e+00
    73 |  1.0831e-01 |  1.4837e-03 |  6.6667e-01 |  9.9992e-01 | -7.4463e-05 |  1.0000e+00 |  1.0012e+00
    74 |  1.0979e-01 |  1.4837e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00 |  1.0013e+00
    75 |  1.1128e-01 |  1.4837e-03 | 2.1220e-313 | 5.7294e-313 | 2.2069e-312 |  1.0000e+00 |  1.0013e+00
    76 |  1.1276e-01 |  1.4837e-03 |  5.2698e-05 | -5.2044e-05 | -3.6114e-07 |  1.0000e+00 |  1.0013e+00
    77 |  1.1424e-01 |  1.4836e-03 |  5.3532e-05 | -5.2867e-05 | -3.6495e-07 |  1.0000e+00 |  1.0014e+00
