epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_lI8yNA.so
[0 - 7f88a92c7780] {4}{threads}: reservation ('CPU proc 1d0000000000000a') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    87 |  1.2907e-01 |  1.4835e-03 |  2.4152e-03 |  4.8303e-03 |  9.9041e-06 |  1.0000e+00
    88 |  1.3055e-01 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
    89 |  1.3203e-01 |  1.4835e-03 |  2.4163e-03 |  4.8325e-03 |  1.0367e-05 |  1.0000e+00
    90 |  1.3352e-01 |  1.4835e-03 |  4.9668e-01 |  9.9338e-01 |  6.9996e-11 |  1.0000e+00
    91 |  1.3500e-01 |  1.4835e-03 |  2.4173e-03 |  4.8346e-03 |  1.0840e-05 |  1.0000e+00
    92 |  1.3648e-01 |  1.4835e-03 |  4.9664e-01 |  9.9330e-01 |  6.2854e-11 |  1.0000e+00
    93 |  1.3797e-01 |  1.4835e-03 |  4.9662e-01 |  9.9326e-01 |  5.9104e-11 |  1.0000e+00
    94 |  1.3945e-01 |  1.4835e-03 |  1.2919e-03 |  2.5839e-03 |  1.2499e-09 |  1.0000e+00
    95 |  1.4093e-01 |  1.4835e-03 |  4.9659e-01 |  9.9319e-01 |  5.1392e-11 |  1.0000e+00
    96 |  1.4242e-01 |  1.4835e-03 |  4.9657e-01 |  9.9316e-01 |  4.7487e-11 |  1.0000e+00
    97 |  1.4390e-01 |  1.4835e-03 |  1.5016e-05 |  3.0032e-05 |  1.2352e-05 |  1.0000e+00
    98 |  1.4538e-01 |  1.4835e-03 |  4.9305e-01 |  9.8618e-01 |  2.5269e-09 |  1.0000e+00
    99 |  1.4687e-01 |  1.4835e-03 |  1.1218e-03 |  2.2435e-03 |  2.0276e-09 |  1.0000e+00
   100 |  1.4835e-01 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.4983e-01 |  1.4835e-03 |  4.9650e-01 |  9.9302e-01 |  2.8612e-11 |  1.0000e+00
   102 |  1.5132e-01 |  1.4835e-03 |  4.9649e-01 |  9.9300e-01 |  2.5139e-11 |  1.0000e+00
   103 |  1.5280e-01 |  1.4835e-03 |  1.6201e-05 |  3.2403e-05 |  1.3939e-05 |  1.0000e+00
   104 |  1.5428e-01 |  1.4835e-03 |  1.6406e-05 |  3.2812e-05 |  1.4212e-05 |  1.0000e+00
   105 |  1.5577e-01 |  1.4835e-03 |  4.9646e-01 |  9.9294e-01 |  1.5697e-11 |  1.0000e+00
   106 |  1.5725e-01 |  1.4835e-03 |  2.4247e-03 |  4.8494e-03 |  1.4715e-05 |  1.0000e+00
   107 |  1.5874e-01 |  1.4835e-03 |  4.9644e-01 |  9.9290e-01 |  1.0403e-11 |  1.0000e+00
   108 |  1.6022e-01 |  1.4835e-03 |  2.4257e-03 |  4.8513e-03 |  1.5275e-05 |  1.0000e+00
   109 |  1.6170e-01 |  1.4835e-03 |  1.3090e-03 |  2.6179e-03 |  2.4274e-09 |  1.0000e+00
   110 |  1.6319e-01 |  1.4835e-03 |  2.4266e-03 |  4.8531e-03 |  1.5846e-05 |  1.0000e+00
   111 |  1.6467e-01 |  1.4835e-03 |  1.7892e-05 |  3.5784e-05 |  1.6198e-05 |  1.0000e+00
   112 |  1.6615e-01 |  1.4835e-03 |  4.9640e-01 |  9.9283e-01 |  1.6307e-12 |  1.0000e+00
   113 |  1.6764e-01 |  1.4835e-03 |  6.6667e-01 |  9.9997e-01 |  8.7017e-07 |  1.0000e+00
   114 |  1.6912e-01 |  1.4835e-03 |  4.9639e-01 |  9.9280e-01 |  2.0934e-13 |  1.0000e+00
   115 |  1.7060e-01 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -4.1613e-03 |  1.0000e+00
   116 |  1.7209e-01 |  1.4835e-03 |  4.9225e-01 |  9.8459e-01 |  6.4066e-09 |  1.0000e+00
   117 |  1.7357e-01 |  1.4835e-03 |  1.9241e-05 |  3.8482e-05 |  1.7995e-05 |  1.0000e+00
   118 |  1.7505e-01 |  1.4835e-03 |  2.4303e-03 |  4.8606e-03 |  1.8231e-05 |  1.0000e+00
   119 |  1.7654e-01 |  1.4835e-03 |  4.9635e-01 |  9.9273e-01 |  2.8966e-12 |  1.0000e+00
   120 |  1.7802e-01 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 | -7.0684e-05 |  1.0000e+00
   121 |  1.7950e-01 |  1.4835e-03 |  1.3236e-03 |  2.6472e-03 |  5.8910e-09 |  1.0000e+00
   122 |  1.8099e-01 |  1.4835e-03 |  2.4323e-03 |  4.8646e-03 |  1.9485e-05 |  1.0000e+00
   123 |  1.8247e-01 |  1.4835e-03 |  4.9632e-01 |  9.9267e-01 |  1.2767e-11 |  1.0000e+00
   124 |  1.8395e-01 |  1.4835e-03 |  4.9631e-01 |  9.9265e-01 |  1.6527e-11 |  1.0000e+00
   125 |  1.8544e-01 |  1.4835e-03 | 3.9525e-323 | 7.9051e-323 | 7.9051e-323 |  1.0000e+00
   126 |  1.8692e-01 |  1.4835e-03 |  2.4344e-03 |  4.8687e-03 |  2.0782e-05 |  1.0000e+00
   127 |  1.8840e-01 |  1.4835e-03 |  4.9628e-01 |  9.9259e-01 |  3.1434e-11 |  1.0000e+00
   128 |  1.8989e-01 |  1.4835e-03 |  4.9626e-01 |  9.9257e-01 |  3.7731e-11 |  1.0000e+00
   129 |  1.9137e-01 |  1.4835e-03 |  4.9625e-01 |  9.9255e-01 |  4.4759e-11 |  1.0000e+00
   130 |  1.9286e-01 |  1.4835e-03 | 3.3528e-312 | 3.5225e-312 | 2.2705e-312 |  1.0000e+00
   131 |  1.9434e-01 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
   132 |  1.9582e-01 |  1.4835e-03 |  2.4377e-03 |  4.8754e-03 |  2.2807e-05 |  1.0000e+00
   133 |  1.9731e-01 |  1.4835e-03 |  4.9619e-01 |  9.9244e-01 |  8.1224e-11 |  1.0000e+00
   134 |  1.9879e-01 |  1.4835e-03 |  6.6667e-01 |  9.9995e-01 | -9.6304e-06 |  1.0000e+00
   135 |  2.0027e-01 |  1.4835e-03 |  4.9139e-01 |  9.8289e-01 |  1.3349e-08 |  1.0000e+00
   136 |  2.0176e-01 |  1.4835e-03 | 3.3528e-312 | 3.5225e-312 | 2.2705e-312 |  1.0000e+00
   137 |  2.0324e-01 |  1.4835e-03 |  4.9612e-01 |  9.9230e-01 |  1.3420e-10 |  1.0000e+00
   138 |  2.0472e-01 |  1.4835e-03 |  4.9610e-01 |  9.9226e-01 |  1.5053e-10 |  1.0000e+00
   139 |  2.0621e-01 |  1.4835e-03 |  4.9608e-01 |  9.9221e-01 |  1.6823e-10 |  1.0000e+00
   140 |  2.0769e-01 |  1.4835e-03 |  2.4428e-03 |  4.8857e-03 |  2.5655e-05 |  1.0000e+00
   141 |  2.0917e-01 |  1.4835e-03 |  1.0981e-03 |  2.1961e-03 |  1.3992e-08 |  1.0000e+00
   142 |  2.1066e-01 |  1.4835e-03 |  2.4442e-03 |  4.8885e-03 |  2.6394e-05 |  1.0000e+00
   143 |  2.1214e-01 |  1.4835e-03 |  4.9598e-01 |  9.9202e-01 |  2.5395e-10 |  1.0000e+00
   144 |  2.1362e-01 |  1.4835e-03 |  4.9088e-01 |  9.8190e-01 |  1.8241e-08 |  1.0000e+00
   145 |  2.1511e-01 |  1.4835e-03 |  2.4464e-03 |  4.8928e-03 |  2.7523e-05 |  1.0000e+00
   146 |  2.1659e-01 |  1.4835e-03 |  4.9589e-01 |  9.9185e-01 |  3.3619e-10 |  1.0000e+00
   147 |  2.1807e-01 |  1.4835e-03 |  1.3566e-03 |  2.7132e-03 |  1.9217e-08 |  1.0000e+00
   148 |  2.1956e-01 |  1.4835e-03 |  4.9583e-01 |  9.9173e-01 |  4.0091e-10 |  1.0000e+00
   149 |  2.2104e-01 |  1.4835e-03 |  2.4495e-03 |  4.8990e-03 |  2.9065e-05 |  1.0000e+00
   150 |  2.2252e-01 |  1.4835e-03 |  2.4503e-03 |  4.9007e-03 |  2.9457e-05 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
