Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    71 |  1.0533e-01 |  1.4835e-03 |  2.3201e-05 | -2.6475e-03 | -5.5591e-04 |  1.0000e+00 |  1.0012e+00
    72 |  1.0681e-01 |  1.4835e-03 |  2.3397e-05 | -2.1638e-03 | -3.7537e-04 |  1.0000e+00 |  1.0012e+00
    73 |  1.0830e-01 |  1.4835e-03 |  2.3194e-05 |  2.1364e-03 | -4.3949e-03 |  1.0000e+00 |  1.0012e+00
    74 |  1.0978e-01 |  1.4835e-03 |  5.6162e-08 |  4.8604e-02 |  4.9294e-04 |  1.0000e+00 |  1.0013e+00
    75 |  1.1126e-01 |  1.4835e-03 |  2.3419e-05 | -2.1550e-03 | 2.2069e-312 |  1.0000e+00 |  1.0013e+00
    76 |  1.1275e-01 |  1.4835e-03 |  2.3199e-05 |  2.1256e-03 |  4.0266e-03 |  1.0000e+00 |  1.0013e+00
    77 |  1.1423e-01 |  1.4835e-03 |  2.3435e-05 |  2.6991e-03 | -2.5372e-05 |  1.0000e+00 |  1.0014e+00
    78 |  1.1571e-01 |  1.4835e-03 |  2.3202e-05 |  2.1178e-03 | -4.0432e-04 |  1.0000e+00 |  1.0014e+00
    79 |  1.1720e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.4029e-02 |  1.0000e+00 |  1.0014e+00
    80 |  1.1868e-01 |  1.4835e-03 |  5.6217e-08 |  4.8585e-02 | -5.3796e-04 |  1.0000e+00 |  1.0015e+00
    81 |  1.2016e-01 |  1.4835e-03 |  2.3208e-05 |  2.1066e-03 | -3.5576e-03 |  1.0000e+00 |  1.0015e+00
    82 |  1.2165e-01 |  1.4835e-03 |  9.6192e-03 |  1.7519e-04 |  4.8252e-04 |  1.0000e+00 |  1.0015e+00
    83 |  1.2313e-01 |  1.4835e-03 |  9.6204e-03 |  4.1658e-04 | -3.5477e-03 |  1.0000e+00 |  1.0016e+00
    84 |  1.2461e-01 |  1.4835e-03 |  2.3229e-05 | -2.6923e-03 | -1.3254e-01 |  1.0000e+00 |  1.0016e+00
    85 |  1.2610e-01 |  1.4835e-03 |  9.6218e-03 |  1.8589e-04 |  1.9688e-04 |  1.0000e+00 |  1.0017e+00
    86 |  1.2758e-01 |  1.4835e-03 |  5.6281e-08 | -4.9181e-02 | -4.4126e-04 |  1.0000e+00 |  1.0017e+00
    87 |  1.2907e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  3.8518e-04 |  1.0000e+00 |  1.0017e+00
    88 |  1.3055e-01 |  1.4835e-03 |  2.3239e-05 | -2.7062e-03 |  4.9481e-02 |  1.0000e+00 |  1.0018e+00
    89 |  1.3203e-01 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.0360e-03 |  1.0000e+00 |  1.0018e+00
